# of clients,CPU usage (%),Memory usage (bytes)
855,1.6,119922688
856,0,120393728
857,0,121061376
858,0,121151488
859,1.6,121151488
860,0,121151488
861,0,121151488
862,0,121151488
863,0,121155584
864,0,121171968
865,0,121171968
866,0,121221120
867,1.5,121221120
868,0,121225216
869,0,121262080
870,0,121311232
871,3.1,121319424
872,0,121327616
873,0,121327616
874,0,121327616
875,1.5,121380864
876,0,121380864
877,0,121380864
878,0,121380864
879,1.5,121380864
880,0,121892864
881,0,122445824
882,0,122658816
883,4.7,122675200
884,0,122675200
885,0,122675200
886,0,122675200
887,0,122675200
888,1.6,122675200
889,0,122675200
890,0,123314176
891,3.2,124018688
892,0,124018688
893,0,124018688
894,0,124084224
895,0,124084224
896,1.6,124084224
897,0,124084224
898,0,123858944
899,0,123858944
900,0,123969536
901,0,123969536
902,0,123969536
903,0,123969536
904,0,123965440
905,0,123965440
906,0,123973632
907,0,124817408
908,0,124817408
909,0,124817408
910,0,124817408
911,0,124821504
912,0,124821504
913,0,124821504
914,0,124825600
915,0,125575168
916,1.5,125575168
917,0,125575168
918,0,125575168
919,0,125575168
920,1.6,125575168
921,0,125575168
922,0,125575168
923,0,126431232
924,1.6,126431232
925,0,126431232
926,0,126431232
927,0,126431232
928,0,126431232
929,1.6,126439424
930,0,126496768
931,0,127299584
932,0,127205376
933,1.5,127225856
934,0,127246336
935,0,127270912
936,0,127324160
937,1.6,127340544
938,0,127340544
939,0,127340544
940,0,127340544
941,3.2,127340544
942,0,127340544
943,0,127705088
944,0,127705088
945,4.7,127705088
946,0,127705088
947,0,127705088
948,0,127705088
949,0,128163840
950,3.1,128163840
951,0,128163840
952,0,128163840
953,0,128163840
954,3.1,128163840
955,0,128163840
956,0,128221184
957,0,129060864
958,1.6,129085440
959,0,129105920
960,0,129114112
961,0,129114112
962,1.5,129114112
963,0,129114112
964,0,129114112
965,0,129875968
966,0,129875968
967,0,129875968
968,0,129875968
969,0,129875968
970,1.5,129875968
971,0,129892352
972,0,129892352
973,0,129892352
974,6.3,130445312
975,0,130445312
976,0,130445312
977,0,130445312
978,3.1,130445312
979,0,130445312
980,0,130445312
981,0,130445312
982,1.6,131084288
983,0,131084288
984,0,126156800
985,0,126369792
986,0,126566400
987,0,126767104
988,0,127012864
989,0,125677568
990,0,125874176
991,0,126062592
992,0,126259200
993,0,127660032
994,1.5,127700992
995,0,127950848
996,0,128155648
997,0,128393216
998,1.6,128491520
999,0,128516096
1000,0,128536576
1001,0,128610304
1002,3.1,128647168
1003,0,128724992
1004,0,128757760
1005,4.7,128761856
1006,0,129146880
1007,0,129146880
1008,0,129146880
1009,0,129146880
1010,1.6,129150976
1011,0,129150976
1012,0,129482752
1013,1.5,129482752
1014,0,127361024
1015,0,127537152
1016,0,127721472
1017,3.2,127913984
1018,0,128102400
1019,0,128290816
1020,0,128475136
1021,3.1,128507904
1022,0,128679936
1023,0,129179648
1024,0,129249280
1025,0,129249280
1026,1.5,129306624
1027,0,129306624
1028,0,129368064
1029,3.1,129454080
1030,0,129474560
1031,0,130064384
1032,0,130064384
1033,3.2,130068480
1034,0,130068480
1035,0,130076672
1036,4.6,131092480
1037,0,131117056
1038,0,131141632
1039,0,131829760
1040,1.5,131842048
1041,0,131956736
1042,0,131956736
1043,0,131956736
1044,0,131956736
1045,0,131801088
1046,0,131801088
1047,0,132513792
1048,1.5,132513792
1049,0,132513792
1050,0,132513792
1051,0,132513792
1052,1.6,132513792
1053,0,132517888
1054,0,132603904
1055,0,132640768
1056,3.1,130998272
1057,0,131198976
1058,0,131399680
1059,1.6,131575808
1060,0,131772416
1061,0,131956736
1062,0,132059136
1063,6.2,130445312
1064,0,130637824
1065,0,130830336
1066,0,131018752
1067,1.5,131203072
1068,0,131395584
1069,0,131588096
1070,0,131821568
1071,1.6,132009984
1072,0,132009984
1073,0,132075520
1074,0,132812800
1075,0,132812800
1076,1.5,132812800
1077,0,132812800
1078,0,132853760
1079,0,133365760
1080,1.6,133365760
1081,0,133365760
1082,0,133365760
1083,0,133382144
1084,0,133406720
1085,0,134303744
1086,0,134328320
1087,0,133820416
1088,0,134037504
1089,0,134131712
1090,0,134279168
1091,0,134434816
1092,1.5,134541312
1093,0,134725632
1094,0,135278592
1095,0,135946240
1096,0,136204288
1097,1.5,136204288
1098,0,136204288
1099,0,136208384
1100,0,136208384
1101,1.5,136208384
1102,0,136830976
1103,0,136830976
1104,0,136830976
1105,3.1,136830976
1106,0,136826880
1107,0,136826880
1108,0,136826880
1109,1.5,136826880
1110,0,137613312
1111,0,137613312
1112,0,137613312
1113,3.1,137613312
1114,0,137613312
1115,0,137613312
1116,3.1,137613312
1117,0,137613312
1118,0,138162176
1119,0,138162176
1120,0,138162176
1121,0,138162176
1122,0,138162176
1123,0,138162176
1124,1.6,138162176
1125,0,138170368
1126,0,134864896
1127,0,135057408
1128,9.4,134905856
1129,0,134946816
1130,0,135065600
1131,4.7,135204864
1132,0,135344128
1133,0,135569408
1134,0,135700480
1135,0,135823360
1136,0,136093696
1137,1.5,136118272
1138,0,136646656
1139,0,136683520
1140,0,136708096
1141,0,136728576
1142,3.1,136753152
1143,0,136777728
1144,0,137744384
1145,0,137773056
1146,0,137801728
1147,0,137826304
1148,0,137850880
1149,1.6,137879552
1150,0,137883648
1151,0,138584064
1152,0,138588160
1153,0,138637312
1154,3,138637312
1155,0,138637312
1156,0,139452416
1157,0,139452416
1158,1.5,139452416
1159,0,140066816
1160,0,140070912
1161,0,140070912
1162,1.6,140075008
1163,0,140075008
1164,0,140075008
1165,0,140075008
1166,1.5,140075008
1167,0,140967936
1168,0,140967936
1169,0,140967936
1170,6.3,140967936
1171,0,140972032
1172,0,140972032
1173,0,140980224
1174,4.7,141668352
1175,0,141668352
1176,0,141668352
1177,0,141668352
1178,4.7,141533184
1179,0,141533184
1180,0,141533184
1181,0,141717504
1182,3.1,142635008
1183,0,142635008
1184,0,142635008
1185,0,142635008
1186,1.6,142635008
1187,0,142708736
1188,0,142757888
1189,0,142786560
1190,4.7,143106048
1191,0,143126528
1192,0,143163392
1193,0,143204352
1194,1.5,143241216
1195,0,143691776
1196,0,143712256
1197,0,143716352
1198,0,143716352
1199,0,143716352
1200,0,143720448
1201,0,143720448
1202,3.1,143720448
1203,0,144252928
1204,0,144252928
1205,0,144252928
1206,1.6,144252928
1207,0,144252928
1208,0,144252928
1209,0,144257024
1210,3.2,144781312
1211,0,144781312
1212,0,144781312
1213,0,144781312
1214,3.1,144781312
1215,0,144781312
1216,0,144785408
1217,0,144789504
1218,1.5,145313792
1219,0,145313792
1220,0,145313792
1221,0,145358848
1222,0,142008320
1223,3.1,142233600
1224,0,142450688
1225,0,142671872
1226,0,142168064
1227,3.1,142393344
1228,0,142602240
1229,0,142823424
1230,1.5,143032320
1231,0,143069184
1232,0,143278080
1233,0,144019456
1234,1.6,144019456
1235,0,144019456
1236,0,144027648
1237,0,144470016
1238,3.1,144478208
1239,0,144486400
1240,0,144494592
1241,0,145178624
1242,0,145178624
1243,0,145178624
1244,0,145182720
1245,0,145186816
1246,3.1,145186816
1247,0,145186816
1248,0,145842176
1249,0,145907712
1250,4.7,145940480
1251,0,145960960
1252,0,145993728
1253,0,146022400
1254,4.6,146165760
1255,0,146219008
1256,0,146333696
1257,0,146599936
1258,0,146620416
1259,0,146644992
1260,0,146665472
1261,0,146685952
1262,0,146714624
1263,3.1,146735104
1264,0,146866176
1265,0,146866176
1266,0,146866176
1267,0,146866176
1268,0,146870272
1269,0,146874368
1270,0,146878464
1271,3.1,146890752
1272,0,147513344
1273,0,147513344
1274,0,147517440
1275,0,147521536
1276,0,147521536
1277,0,147533824
1278,0,147542016
1279,3.1,148099072
1280,0,148099072
1281,0,148103168
1282,0,148103168
1283,0,148111360
1284,0,148119552
1285,0,148119552
1286,0,148230144
1287,1.6,149008384
1288,0,149008384
1289,0,149008384
1290,0,149012480
1291,0,149016576
1292,0,149016576
1293,0,149016576
1294,0,149602304
1295,1.5,149602304
1296,0,149602304
1297,0,150089728
1298,0,150114304
1299,1.6,150114304
1300,0,150114304
1301,0,146800640
1302,0,147046400
1303,3.1,147279872
1304,0,147533824
1305,0,147959808
1306,0,147963904
1307,0,148082688
1308,0,148099072
1309,0,148221952
1310,3.1,148312064
1311,0,148426752
1312,0,148647936
1313,0,149049344
1314,1.5,149049344
1315,0,149057536
1316,0,149057536
1317,0,149151744
1318,0,149729280
1319,1.6,149729280
1320,0,147619840
1321,0,147849216
1322,0,148094976
1323,1.5,148328448
1324,0,148561920
1325,0,148795392
1326,0,148910080
1327,1.6,149520384
1328,0,149528576
1329,0,149528576
1330,0,149528576
1331,0,149532672
1332,0,149532672
1333,0,149549056
1334,0,150118400
1335,1.5,150118400
1336,0,150130688
1337,0,150134784
1338,0,150138880
1339,0,150138880
1340,3.2,150163456
1341,0,151195648
1342,0,151216128
1343,0,151216128
